City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaanaaq,77.484,-69.3632,-9.09,67,13,6.67,GL,1679254224
1,udachnyy,66.4167,112.4,-36.69,100,100,4.99,RU,1679254225
2,portland,45.5234,-122.6762,60.46,59,75,11.5,US,1679254124
3,bathsheba,13.2167,-59.5167,84.81,58,40,21.85,BB,1679254234
4,anadyr,64.75,177.4833,16.3,85,40,5.99,RU,1679254235
5,dikson,73.5069,80.5464,-13.18,96,99,8.19,RU,1679254236
6,mar del plata,-38.0023,-57.5575,71.83,88,75,13.8,AR,1679254182
7,butaritari,3.0707,172.7902,80.64,75,49,8.08,KI,1679254238
8,port elizabeth,-33.918,25.5701,72.32,92,75,17.27,ZA,1679254239
9,sao joao da barra,-21.6403,-41.0511,86.09,78,5,11.52,BR,1679254076
10,vaini,-21.2,-175.2,78.96,89,75,10.36,TO,1679254240
11,airai,-8.9266,125.4092,58.06,92,100,2.51,TL,1679254241
12,hilo,19.7297,-155.09,81.25,71,0,8.05,US,1679254241
13,sept-iles,50.2001,-66.3821,34.32,67,75,16.11,CA,1679254082
14,narsaq,60.9167,-46.05,29.66,73,100,7.74,GL,1679254243
15,taltal,-25.4,-70.4833,71.51,72,23,4.36,CL,1679254243
16,saint-philippe,-21.3585,55.7679,78.39,82,100,3.38,RE,1679254244
17,hermanus,-34.4187,19.2345,61.81,76,0,5.28,ZA,1679254245
18,camacha,33.0833,-16.3333,58.42,88,75,6.91,PT,1679254245
19,kodiak,57.79,-152.4072,33.31,69,40,5.75,US,1679254246
20,ko samui,9.5357,99.9357,80.83,76,65,9.86,TH,1679254247
21,rikitea,-23.1203,-134.9692,79.03,72,10,12.41,PF,1679254248
22,puerto ayora,-0.7393,-90.3518,85.96,85,66,8.99,EC,1679254248
23,ayan,56.45,138.1667,10.53,59,33,15.48,RU,1679254249
24,mataura,-46.1927,168.8643,61.48,94,100,3.15,NZ,1679254250
25,tocache,-8.1842,-76.5125,85.6,59,85,0.54,PE,1679254251
26,iqaluit,63.7506,-68.5145,-15.07,70,0,23.02,CA,1679254252
27,fort nelson,58.8053,-122.7002,33.39,51,20,3.44,CA,1679254252
28,capaccio,40.4244,15.0809,50.05,80,100,2.62,IT,1679254278
29,kruisfontein,-34.0033,24.7314,68.36,88,100,12.68,ZA,1679254279
30,albany,42.6001,-73.9662,32.58,49,100,7.0,US,1679254279
31,rosetta,31.4044,30.4164,59.58,67,100,23.11,EG,1679254280
32,fairbanks,64.8378,-147.7164,34.83,68,0,3.44,US,1679254200
33,esperance,-33.8667,121.9,60.94,87,4,14.45,AU,1679254282
34,bluff,-46.6,168.3333,61.81,77,100,12.5,NZ,1679254283
35,carnarvon,-24.8667,113.6333,73.56,81,0,14.2,AU,1679254283
36,manlilinao,11.1078,124.4991,72.55,89,100,5.39,PH,1679254285
37,busselton,-33.65,115.3333,64.56,61,61,13.06,AU,1679254287
38,bonavista,48.6499,-53.1147,37.09,96,100,23.38,CA,1679254288
39,lodja,-3.4833,23.4333,68.16,92,74,1.34,CD,1679254288
40,conceicao do araguaia,-8.2578,-49.2647,71.46,96,100,2.93,BR,1679254289
41,tasiilaq,65.6145,-37.6368,12.36,85,100,4.74,GL,1679254290
42,kibuye,-2.0597,29.3482,64.15,84,99,1.77,RW,1679254291
43,nikolskoye,59.7035,30.7861,37.29,99,100,4.94,RU,1679254291
44,manoel urbano,-8.8389,-69.2597,90.01,49,95,2.44,BR,1679254292
45,shimoda,34.6667,138.95,51.42,64,75,3.02,JP,1679254293
46,bredasdorp,-34.5322,20.0403,65.75,82,0,0.92,ZA,1679254293
47,lavrentiya,65.5833,-171.0,14.56,95,100,5.55,RU,1679254294
48,kuryk,43.2,51.65,54.7,32,4,17.47,KZ,1679254295
49,mitsamiouli,-11.3847,43.2844,81.79,77,100,7.76,KM,1679254296
50,richards bay,-28.783,32.0377,75.92,91,91,3.11,ZA,1679254297
51,hualmay,-11.0964,-77.6139,78.64,67,76,9.71,PE,1679254297
52,punta arenas,-53.15,-70.9167,48.31,53,40,31.07,CL,1679254077
53,kazachinskoye,57.6953,93.2761,1.49,91,100,12.44,RU,1679254298
54,kinablangan,7.6947,126.5503,76.73,87,71,4.03,PH,1679254299
55,hithadhoo,-0.6,73.0833,81.28,76,100,5.23,MV,1679254303
56,barcelos,41.5388,-8.6151,58.91,84,97,3.24,PT,1679254307
57,tura,25.5198,90.2201,62.38,98,100,1.83,IN,1679254307
58,dingle,10.9995,122.6711,73.56,93,100,7.85,PH,1679254308
59,port alfred,-33.5906,26.891,73.18,83,99,7.0,ZA,1679254308
60,tiksi,71.6872,128.8694,-16.69,96,100,14.47,RU,1679254309
61,issia,6.4922,-6.5856,80.33,66,99,0.56,CI,1679254196
62,souillac,-20.5167,57.5167,77.38,94,40,3.44,MU,1679254310
63,avarua,-21.2078,-159.775,82.45,78,64,13.8,CK,1679254311
64,jamestown,42.097,-79.2353,27.99,62,100,19.57,US,1679254252
65,krasnoselkup,65.7,82.4667,-8.1,85,99,11.59,RU,1679254312
66,taboshar,40.5686,69.6413,46.72,77,100,4.14,TJ,1679254312
67,nelson bay,-32.7167,152.15,75.99,96,24,8.01,AU,1679254313
68,strausberg,52.5786,13.8874,56.66,87,100,6.06,DE,1679254314
69,mount isa,-20.7333,139.5,73.17,68,6,8.05,AU,1679254279
70,kirakira,-10.4544,161.9205,79.86,82,12,1.66,SB,1679254315
71,nadvoitsy,63.8667,34.3167,28.98,97,100,3.22,RU,1679254315
72,novo cruzeiro,-17.4681,-41.8753,73.74,73,97,4.81,BR,1679254249
73,norsup,-16.0667,167.3833,80.13,84,100,3.33,VU,1679254317
74,ribeira grande,38.5167,-28.7,61.2,67,40,21.85,PT,1679254318
75,cape town,-33.9258,18.4232,67.87,73,40,9.22,ZA,1679254279
76,jutai,-5.1833,-68.9,85.14,71,100,2.26,BR,1679254319
77,chokurdakh,70.6333,147.9167,-17.82,97,100,15.03,RU,1679254319
78,cherskiy,68.75,161.3,-1.68,98,96,7.02,RU,1679254320
79,ahipara,-35.1667,173.1667,62.01,73,0,2.33,NZ,1679254320
80,bay roberts,47.5999,-53.2648,42.15,95,100,15.99,CA,1679254321
81,laguna,38.421,-121.4238,55.53,90,100,14.97,US,1679254322
82,khatanga,71.9667,102.5,-33.3,99,91,7.11,RU,1679254324
83,lasa,46.6166,10.7002,49.08,98,99,1.88,IT,1679254325
84,san luis,-33.295,-66.3356,83.44,46,75,10.31,AR,1679254326
85,aklavik,68.2191,-135.0107,10.4,67,75,10.36,CA,1679254326
86,kaitangata,-46.2817,169.8464,56.75,85,100,4.14,NZ,1679254328
87,ushuaia,-54.8,-68.3,38.86,87,75,25.32,AR,1679254328
88,santa rosa,14.3122,121.1114,78.12,75,100,8.48,PH,1679254135
89,upernavik,72.7868,-56.1549,-17.34,98,90,11.95,GL,1679254329
90,komsomolskiy,40.4272,71.7189,57.92,58,40,4.61,UZ,1679254330
91,new norfolk,-42.7826,147.0587,48.92,66,27,1.01,AU,1679254331
92,wattegama,6.7989,81.4808,73.0,95,20,2.39,LK,1679254331
93,torbay,47.6666,-52.7314,41.4,96,100,27.63,CA,1679254332
94,patarlagele,45.3206,26.3605,45.32,69,36,2.13,RO,1679254332
95,nichinan,31.6,131.3667,47.88,66,100,4.52,JP,1679254333
96,aroysund,59.1806,10.455,42.49,100,100,6.91,NO,1679254333
97,luderitz,-26.6481,15.1594,61.79,89,99,3.69,NA,1679254334
98,tautira,-17.7333,-149.15,80.26,77,100,6.62,PF,1679254335
99,ixtapa,20.7,-105.2,78.03,57,0,9.22,MX,1679254335
100,andros town,24.7,-77.7667,76.96,69,99,8.93,BS,1679254336
101,gorontalo,0.5412,123.0595,74.5,95,100,2.8,ID,1679254336
102,barra patuca,15.8,-84.2833,84.97,59,38,13.6,HN,1679254337
103,denpasar,-8.65,115.2167,80.26,94,40,4.61,ID,1679254105
104,benguela,-12.5763,13.4055,79.56,82,65,6.15,AO,1679254338
105,samarinda,-0.5,117.15,72.59,99,98,0.4,ID,1679254338
106,waipawa,-41.4122,175.5153,55.85,84,21,7.43,NZ,1679254339
107,bubaque,11.2833,-15.8333,76.26,79,10,16.6,GW,1679254339
108,karpogory,64.0019,44.4451,31.28,92,100,7.31,RU,1679254340
109,tagusao,9.1924,117.8141,77.56,85,98,6.38,PH,1679254341
110,piacabucu,-10.4056,-36.4344,81.63,70,71,11.41,BR,1679254341
111,east london,-33.0153,27.9116,74.5,85,100,17.52,ZA,1679254342
112,perpignan,42.75,2.75,58.64,58,0,13.8,FR,1679254343
113,mosquera,4.7059,-74.2302,68.09,60,40,14.97,CO,1679254343
114,klaksvik,62.2266,-6.589,36.52,58,100,11.03,FO,1679254344
115,beloha,-25.1667,45.05,73.85,85,100,9.89,MG,1679254345
116,naze,28.3667,129.4833,63.52,74,100,9.4,JP,1679254346
117,sao filipe,14.8961,-24.4956,75.81,65,2,14.34,CV,1679254347
118,bengkulu,-3.8004,102.2655,74.97,92,90,4.92,ID,1679254347
119,port lincoln,-34.7333,135.8667,62.53,71,100,22.62,AU,1679254348
